pmra,pmdec,dist,halomass,Peri,c,tr,e
-0.15659696697340145,-0.41604616819307855,129.20573709061765,1.6027357412621843,29.689836899369894,0.5,,
-0.2267864886517541,-0.33812923686394425,128.44813470621185,1.7931920594805988,9.70496132530205,0.5,,
-0.28686902162997513,-0.3082436375471664,129.28369642378829,1.1337164265775797,8.30085939766154,0.5,,
-0.021135959609728056,-0.3222104653303352,127.02741153935992,0.7711718293884171,63.87344396505267,0.5,,
-0.07940700774783874,-0.3875360929799449,135.43601425092663,1.0797953943197414,55.79347854742668,0.5,,
-0.21517237221692975,-0.4244547228456914,133.27394501066536,1.7156478817159941,33.56575874955898,0.5,,
-0.1436477904036925,-0.4004636598933088,118.26869213332022,2.1153389080732783,13.793175548662996,0.5,,
-0.2529900135482847,-0.27415235778789515,131.07245982597314,1.3650800853169573,2.2018884486569186,0.5,,
-0.15608688676281413,-0.3749561321929983,136.88514433687408,1.14062029381709,31.070554175034914,0.5,,
-0.018708276252294348,-0.39756823224707183,128.11381366749742,1.6646567595008133,46.219219464752676,0.5,,
-0.215633331215976,-0.4704364501067764,137.84441179108228,1.539168777557054,58.26409706372464,0.5,,
-0.09012750707570835,-0.43599688801852615,127.10573080448681,1.073322526855912,56.55589532239873,0.5,,
-0.10851950101230284,-0.4656728356960899,128.41502365277594,1.5939099641770613,43.23338673962501,0.5,,
-0.1789642518571566,-0.4134758082051456,122.90336205727715,0.7337583896739838,36.814621918254,0.5,,
0.04450637045129574,-0.42422633247291613,139.46932177242198,1.3863101460478855,95.89800149437006,0.5,,
-0.37261889710850715,-0.3710852466301101,132.57912482674618,1.2983130011820896,36.15310532134061,0.5,,
-0.19128791529651135,-0.410513885083768,129.6122606383493,1.62937976225815,27.432285227978316,0.5,,
-0.12790003022644233,-0.2897443345303879,125.76484463400318,0.7382840601581742,25.430553908883958,0.5,,
-0.16213735169178567,-0.3596264886752612,135.59601771616377,1.0986368817360042,24.81048648038554,0.5,,
-0.2482332323904543,-0.4500489664401637,132.5759209838904,1.6054992475565009,42.19719628075758,0.5,,
-0.21323642059998163,-0.438053581457012,124.34713064973513,0.9891731823067005,37.172715128499725,0.5,,
-0.11293131952296159,-0.3494115731122248,130.79326768714614,1.5852478733395416,22.808986982050293,0.5,,
-0.06111673961894791,-0.2801955922318333,128.58054468694084,1.3446609304088104,28.481034586268255,0.5,,
